Alpha_gain,Alpha_loss,Beta,Choice,Decay,Stim_Sequence,Subject,Trial,Trustee_Response
0.0,0.0,4,1,0.0,0,7,29.0,1
0.0,0.0,4,1,0.0,2,7,30.0,0
0.0,0.0,4,2,0.0,2,7,31.0,0
0.0,0.0,4,4,0.0,0,7,32.0,1
0.0,0.0,4,1,0.0,1,7,33.0,1
0.0,0.0,4,2,0.0,1,7,34.0,0
0.0,0.0,4,3,0.0,1,7,35.0,1
0.0,0.0,4,1,0.0,2,7,36.0,0
0.0,0.0,4,4,0.0,0,7,37.0,0
0.0,0.0,4,4,0.0,2,7,38.0,0
0.0,0.0,4,3,0.0,2,7,39.0,0
0.0,0.0,4,4,0.0,2,7,40.0,0
0.0,0.0,4,3,0.0,2,7,41.0,0
0.0,0.0,4,4,0.0,0,7,42.0,1
0.0,0.0,4,1,0.0,0,7,43.0,1
0.0,0.0,4,3,0.0,2,7,44.0,0
0.0,0.0,4,2,0.0,1,7,45.0,1
0.0,0.0,4,1,0.2,0,8,1.0,0
0.0,0.0,4,4,0.2,1,8,2.0,0
0.0,0.0,4,4,0.2,2,8,3.0,0
0.0,0.0,4,3,0.2,0,8,4.0,1
0.0,0.0,4,2,0.2,1,8,5.0,1
0.0,0.0,4,1,0.2,0,8,6.0,1
0.0,0.0,4,4,0.2,1,8,7.0,1
0.0,0.0,4,2,0.2,0,8,8.0,0
0.0,0.0,4,2,0.2,0,8,9.0,1
0.0,0.0,4,4,0.2,2,8,10.0,0
0.0,0.0,4,1,0.2,1,8,11.0,0
0.0,0.0,4,2,0.2,1,8,12.0,1
0.0,0.0,4,3,0.2,0,8,13.0,1
0.0,0.0,4,4,0.2,0,8,14.0,1
0.0,0.0,4,4,0.2,2,8,15.0,0
0.0,0.0,4,4,0.2,0,8,16.0,1
0.0,0.0,4,1,0.2,2,8,17.0,0
0.0,0.0,4,3,0.2,2,8,18.0,0
0.0,0.0,4,2,0.2,1,8,19.0,1
0.0,0.0,4,2,0.2,1,8,20.0,1
0.0,0.0,4,2,0.2,1,8,21.0,0
0.0,0.0,4,4,0.2,2,8,22.0,0
0.0,0.0,4,3,0.2,2,8,23.0,1
0.0,0.0,4,1,0.2,1,8,24.0,1
0.0,0.0,4,3,0.2,2,8,25.0,0
0.0,0.0,4,2,0.2,0,8,26.0,1
0.0,0.0,4,4,0.2,0,8,27.0,1
0.0,0.0,4,2,0.2,2,8,28.0,0
0.0,0.0,4,4,0.2,0,8,29.0,1
0.0,0.0,4,4,0.2,1,8,30.0,1
0.0,0.0,4,2,0.2,2,8,31.0,0
0.0,0.0,4,4,0.2,2,8,32.0,0
0.0,0.0,4,1,0.2,2,8,33.0,0
0.0,0.0,4,3,0.2,2,8,34.0,0
0.0,0.0,4,2,0.2,1,8,35.0,1
0.0,0.0,4,4,0.2,0,8,36.0,1
0.0,0.0,4,4,0.2,2,8,37.0,0
