Subject,alpha,beta
419.0,0.0022183818830056757,20.0
420.0,1.0,0.1398725366205797
421.0,0.0,0.35244731194541024
422.0,0.0,1e-10
423.0,0.0,1e-10
424.0,1.0,0.044670189130793014
425.0,0.0,1e-10
426.0,0.0,1e-10
427.0,0.0,1e-10
428.0,0.0,1e-10
429.0,0.0,1e-10
430.0,0.7437377828856874,0.45356537349375975
431.0,0.0,1e-10
432.0,0.7828693373104666,0.17866651637953687
433.0,0.0,1e-10
434.0,0.0,1e-10
435.0,0.0,1e-10
436.0,0.0,1e-10
437.0,1.0,0.25787349683052063
438.0,0.0,1e-10
439.0,0.16619898885742748,0.8415968341699158
440.0,0.0,1e-10
441.0,0.0,1e-10
442.0,1.0,0.06743666102229444
443.0,0.0,1e-10
444.0,0.0039048697248414473,20.0
445.0,0.7269478726667556,0.4640411006447574
446.0,1.0,0.13987253634092844
447.0,0.0,1e-10
448.0,0.0,1e-10
449.0,0.05181101109785514,0.8621757555390493
450.0,0.0,0.7352459695232929
451.0,0.0,1e-10
452.0,0.002218449742514759,20.0
453.0,0.0,1e-10
454.0,0.053136357987982594,0.8406708462618993
455.0,0.999999974676573,0.1398725431036186
456.0,0.0,1e-10
457.0,0.0,1e-10
458.0,0.0,1e-10
459.0,0.0,1e-10
460.0,0.0,1e-10
461.0,0.7249529887365007,0.6189890762224491
462.0,0.0,1e-10
463.0,0.10313359560357002,0.43312941896598484
464.0,0.005773038885108956,20.0
465.0,0.6694044810058223,0.06673123623699392
466.0,0.0,1e-10
467.0,0.6909510606991982,0.37321529425143085
468.0,1.0,0.044670188707965394
469.0,0.01462050076036775,20.0
470.0,0.0,1e-10
471.0,0.0,1e-10
472.0,0.0,1e-10
473.0,0.0,1e-10
474.0,0.0,1e-10
475.0,1.0,0.25787349556747824
476.0,0.0,1e-10
477.0,0.0,1e-10
478.0,0.9999999239328691,0.13987254626180445
479.0,0.976972852371554,8.248043180616364
480.0,0.0,1e-10
481.0,0.0,0.09345826464776574
482.0,1.0,0.33733369912901895
483.0,1.0,0.04467018546821297
484.0,0.0,1e-10
485.0,0.016631210895157077,20.0
486.0,1.0,0.139872548789679
487.0,0.0,1e-10
488.0,0.0,1e-10
489.0,1.0,0.13987253599185223
490.0,0.0,1e-10
491.0,0.5759039446892549,0.24287477538527263
492.0,0.6487331624933872,0.5199883590978945
493.0,0.0,1e-10
494.0,0.0,1e-10
495.0,0.0,1e-10
496.0,0.04713954064676099,20.0
497.0,0.0,1e-10
498.0,0.0,1e-10
499.0,0.14228871046965907,0.9830192441614712
500.0,0.0,1e-10
501.0,0.41464147918992855,0.8135551012785808
502.0,0.0,1e-10
503.0,0.0,0.5179452696505781
504.0,0.0,1e-10
505.0,0.7523761936522627,0.44835773953777575
506.0,0.2997897231209733,0.4665688202080688
507.0,0.0013401585594065729,20.0
508.0,0.0,1e-10
509.0,0.1330865231998357,1.617759237212422
510.0,0.0,1e-10
511.0,0.0,1e-10
512.0,0.0,1e-10
513.0,0.0022036770856965083,20.0
514.0,1.0,6.641889391404736
515.0,1.0,0.13987253392874194
516.0,1.0,0.044670189389000574
517.0,0.20607731740494104,0.9342576152355969
518.0,0.42968540889460494,1.0443407738660777
519.0,0.0,1e-10
520.0,0.7859694159624973,0.17796180901019257
521.0,0.0,1e-10
522.0,0.0,1e-10
523.0,0.0,1e-10
524.0,0.0,1e-10
525.0,0.01995053833845979,20.0
526.0,0.0022564016560733913,20.0
527.0,0.0,1e-10
528.0,0.0,1e-10
529.0,0.0,1e-10
530.0,0.0,0.1278026589419538
531.0,0.0,1e-10
532.0,0.0,1e-10
533.0,0.0,1e-10
534.0,1.0,0.25787349708515667
535.0,0.0,1e-10
536.0,0.0,1e-10
537.0,0.012084516045853828,20.0
538.0,0.0,1e-10
539.0,0.0,1e-10
540.0,0.019950537242298772,20.0
541.0,0.0,1e-10
542.0,0.0,1e-10
543.0,0.7184505242796185,0.062175740393997966
544.0,0.5019583624349468,1e-10
545.0,0.04586470256756684,0.9739557851139172
546.0,0.0,1e-10
547.0,0.0,1e-10
548.0,0.0,1e-10
549.0,0.0,1e-10
550.0,0.0,1e-10
551.0,1.0,0.13987253415198989
552.0,0.0,1e-10
553.0,0.0,1e-10
554.0,0.00683580786179638,20.0
555.0,0.0,1e-10
556.0,0.49252421696857207,1e-10
557.0,0.16838263944069834,0.8306827129582828
558.0,0.0,1e-10
559.0,0.007764693287717051,20.0
560.0,0.0,0.1260087489234021
561.0,0.0,1e-10
562.0,1.0,4.428260686279026
563.0,0.0,1e-10
564.0,0.26215783423702654,0.1703942637109745
565.0,1.0,0.1398725354339789
566.0,0.0,1e-10
567.0,1.0,4.447523377403209
568.0,0.0,1e-10
569.0,0.0,0.2517187009130698
570.0,0.0,1e-10
571.0,0.0,1e-10
572.0,0.0,1e-10
573.0,0.0,1e-10
574.0,0.00224593190484585,20.0
575.0,0.006835810563313286,20.0
576.0,0.0,1e-10
577.0,0.0,1e-10
578.0,1.0,0.1398725370983581
579.0,1.0,0.044670187867065295
580.0,1.0,0.13987253556907103
581.0,0.7357139955782117,0.45851199356539624
582.0,0.0,1e-10
583.0,1.0,0.337333694536444
584.0,0.0,0.4330487436045912
585.0,0.0,1e-10
586.0,0.04464642790524289,20.0
587.0,0.0,1e-10
588.0,0.0,1e-10
589.0,1.0,0.0446701889404421
590.0,0.012084515515820378,20.0
591.0,0.31679285303390986,0.44152682631097806
592.0,0.0,1e-10
593.0,1.0,0.0446701895938989
594.0,0.8920649399758935,0.1567963638262266
595.0,0.5446189269650359,0.61939400238796
596.0,1.0,0.1398725453392261
597.0,1.0,0.04467018812106488
598.0,0.0,1e-10
599.0,0.0,1e-10
600.0,0.39714127315489833,1e-10
601.0,0.0,1e-10
602.0,0.0,1e-10
603.0,0.0,1e-10
