Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha,Beta,Decay
30,1,3,1,121,0.0,2,0.1
31,2,2,0,121,0.0,2,0.1
32,1,1,1,121,0.0,2,0.1
33,2,2,0,121,0.0,2,0.1
34,1,3,1,121,0.0,2,0.1
35,2,2,0,121,0.0,2,0.1
36,1,2,1,121,0.0,2,0.1
37,0,4,1,121,0.0,2,0.1
38,1,2,1,121,0.0,2,0.1
39,2,4,0,121,0.0,2,0.1
40,1,4,0,121,0.0,2,0.1
41,0,1,1,121,0.0,2,0.1
42,0,1,1,121,0.0,2,0.1
43,2,3,0,121,0.0,2,0.1
44,0,4,1,121,0.0,2,0.1
45,0,4,1,121,0.0,2,0.1
1,2,4,0,131,0.0,2,0.2
2,2,2,0,131,0.0,2,0.2
3,1,3,1,131,0.0,2,0.2
4,2,1,0,131,0.0,2,0.2
5,0,3,1,131,0.0,2,0.2
6,0,3,1,131,0.0,2,0.2
7,2,4,0,131,0.0,2,0.2
8,2,3,0,131,0.0,2,0.2
9,2,2,0,131,0.0,2,0.2
10,0,2,1,131,0.0,2,0.2
11,2,1,0,131,0.0,2,0.2
12,0,2,1,131,0.0,2,0.2
13,0,2,1,131,0.0,2,0.2
14,1,3,1,131,0.0,2,0.2
15,1,4,1,131,0.0,2,0.2
16,1,3,1,131,0.0,2,0.2
17,0,3,1,131,0.0,2,0.2
18,1,1,1,131,0.0,2,0.2
19,1,2,1,131,0.0,2,0.2
20,0,3,1,131,0.0,2,0.2
21,1,2,0,131,0.0,2,0.2
22,1,1,0,131,0.0,2,0.2
23,2,3,0,131,0.0,2,0.2
24,2,2,1,131,0.0,2,0.2
25,1,2,1,131,0.0,2,0.2
26,0,3,1,131,0.0,2,0.2
27,2,4,0,131,0.0,2,0.2
28,2,3,0,131,0.0,2,0.2
29,0,2,1,131,0.0,2,0.2
30,1,4,1,131,0.0,2,0.2
31,0,2,1,131,0.0,2,0.2
32,0,2,1,131,0.0,2,0.2
33,1,3,0,131,0.0,2,0.2
34,2,4,0,131,0.0,2,0.2
35,2,2,0,131,0.0,2,0.2
36,1,4,0,131,0.0,2,0.2
37,1,1,0,131,0.0,2,0.2
38,2,4,0,131,0.0,2,0.2
39,0,2,1,131,0.0,2,0.2
40,0,2,1,131,0.0,2,0.2
41,1,4,1,131,0.0,2,0.2
42,0,4,1,131,0.0,2,0.2
43,1,3,1,131,0.0,2,0.2
44,0,2,1,131,0.0,2,0.2
45,2,3,0,131,0.0,2,0.2
1,0,2,1,141,0.0,2,0.3
2,2,1,0,141,0.0,2,0.3
3,2,2,0,141,0.0,2,0.3
4,0,3,1,141,0.0,2,0.3
5,1,1,1,141,0.0,2,0.3
6,1,4,0,141,0.0,2,0.3
7,0,3,1,141,0.0,2,0.3
8,2,1,0,141,0.0,2,0.3
9,0,1,1,141,0.0,2,0.3
10,1,2,1,141,0.0,2,0.3
11,2,1,0,141,0.0,2,0.3
12,1,3,0,141,0.0,2,0.3
13,2,2,1,141,0.0,2,0.3
14,1,1,0,141,0.0,2,0.3
15,0,2,1,141,0.0,2,0.3
