Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Beta
10,2,4,0,17,0
11,1,2,1,17,0
12,1,3,0,17,0
13,0,2,1,17,0
14,2,2,0,17,0
15,2,2,0,17,0
16,0,2,1,17,0
17,1,3,1,17,0
18,1,1,1,17,0
19,0,3,0,17,0
20,2,1,0,17,0
21,1,3,1,17,0
22,2,1,1,17,0
23,0,3,1,17,0
24,1,1,0,17,0
25,0,1,1,17,0
26,1,3,0,17,0
27,0,1,1,17,0
28,0,4,1,17,0
29,1,3,1,17,0
30,2,1,0,17,0
31,1,4,1,17,0
32,0,4,1,17,0
33,0,1,1,17,0
34,0,2,1,17,0
35,1,4,1,17,0
36,1,3,0,17,0
37,2,1,0,17,0
38,0,3,1,17,0
39,0,3,1,17,0
40,2,4,0,17,0
41,1,1,0,17,0
42,2,3,0,17,0
43,0,3,1,17,0
44,0,2,1,17,0
45,2,2,0,17,0
1,2,1,0,18,0
2,1,4,1,18,0
3,1,3,0,18,0
4,0,4,1,18,0
5,0,3,0,18,0
6,2,2,0,18,0
7,0,3,0,18,0
8,2,3,0,18,0
9,0,3,1,18,0
10,2,1,0,18,0
11,1,3,0,18,0
12,0,4,1,18,0
13,1,2,1,18,0
14,2,2,0,18,0
15,1,1,1,18,0
16,2,1,0,18,0
17,2,3,0,18,0
18,2,4,0,18,0
19,1,3,0,18,0
20,2,4,1,18,0
21,0,3,1,18,0
22,1,4,1,18,0
23,0,2,1,18,0
24,1,1,0,18,0
25,2,2,1,18,0
26,1,4,0,18,0
27,0,4,1,18,0
28,1,3,1,18,0
29,2,2,0,18,0
30,1,1,1,18,0
31,1,4,0,18,0
32,0,3,1,18,0
33,0,2,1,18,0
34,2,3,1,18,0
35,2,3,0,18,0
36,2,4,1,18,0
37,1,3,0,18,0
38,1,2,1,18,0
39,0,2,1,18,0
40,1,1,0,18,0
41,2,3,0,18,0
42,0,4,1,18,0
43,0,3,1,18,0
44,0,3,1,18,0
45,0,2,1,18,0
1,1,4,1,19,0
2,2,3,0,19,0
3,1,3,1,19,0
4,1,1,1,19,0
5,0,2,0,19,0
6,1,1,1,19,0
7,0,2,1,19,0
8,0,4,1,19,0
9,0,3,1,19,0
10,1,4,1,19,0
11,2,2,0,19,0
12,1,3,1,19,0
13,0,4,1,19,0
14,2,3,0,19,0
15,0,2,1,19,0
16,2,1,0,19,0
17,1,3,0,19,0
18,2,2,0,19,0
19,2,3,0,19,0
20,0,3,1,19,0
21,2,2,1,19,0
22,1,1,1,19,0
23,1,1,1,19,0
24,1,1,1,19,0
25,0,1,1,19,0
26,2,2,0,19,0
27,2,4,0,19,0
28,1,3,0,19,0
29,2,4,0,19,0
30,2,3,0,19,0
31,2,1,0,19,0
32,1,2,0,19,0
33,0,1,1,19,0
34,0,2,1,19,0
35,0,4,1,19,0
36,2,1,0,19,0
37,2,3,0,19,0
38,1,2,1,19,0
39,0,3,1,19,0
40,2,1,0,19,0
41,1,1,0,19,0
42,1,3,0,19,0
43,0,1,1,19,0
44,0,3,1,19,0
45,0,3,1,19,0
1,2,4,0,20,0
2,2,3,0,20,0
3,1,2,0,20,0
4,0,2,1,20,0
5,0,4,0,20,0
6,1,2,1,20,0
7,0,1,0,20,0
8,2,2,1,20,0
9,2,2,0,20,0
10,1,4,1,20,0
11,0,2,1,20,0
12,0,1,1,20,0
13,2,2,0,20,0
14,1,2,0,20,0
15,0,3,1,20,0
16,1,1,0,20,0
17,2,1,0,20,0
18,1,4,0,20,0
19,1,1,0,20,0
20,2,1,0,20,0
21,1,2,0,20,0
22,2,1,0,20,0
23,1,4,1,20,0
24,2,3,0,20,0
25,1,3,1,20,0
26,0,3,1,20,0
27,0,3,1,20,0
28,2,2,1,20,0
29,1,3,0,20,0
30,0,1,1,20,0
31,0,1,1,20,0
32,0,1,1,20,0
33,0,2,1,20,0
34,2,1,0,20,0
35,1,3,1,20,0
36,0,1,1,20,0
37,1,1,1,20,0
38,2,3,0,20,0
39,1,4,0,20,0
40,0,4,1,20,0
41,0,4,0,20,0
42,2,3,1,20,0
43,2,3,0,20,0
44,1,1,0,20,0
45,2,1,0,20,0
1,1,2,1,21,0
2,1,1,0,21,0
3,0,1,1,21,0
4,1,2,1,21,0
5,2,4,0,21,0
6,0,2,1,21,0
7,1,1,1,21,0
8,2,3,0,21,0
9,1,4,1,21,0
10,0,1,1,21,0
11,1,3,0,21,0
12,1,1,1,21,0
13,0,2,1,21,0
14,2,4,0,21,0
15,2,4,0,21,0
16,0,2,1,21,0
17,0,3,1,21,0
18,1,4,0,21,0
19,2,3,0,21,0
20,2,3,0,21,0
21,1,4,1,21,0
22,0,1,1,21,0
23,0,2,1,21,0
24,1,3,0,21,0
25,2,1,1,21,0
26,2,3,0,21,0
27,0,3,1,21,0
28,2,4,0,21,0
