Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha_gain,Alpha_loss,Beta
19,2,1,0,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
20,2,1,0,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
21,2,1,0,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
22,0,3,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
23,0,4,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
24,0,3,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
25,0,4,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
26,2,1,0,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
27,1,2,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
28,0,4,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
29,1,4,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
30,1,4,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
31,0,4,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
32,2,1,0,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
33,1,1,0,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
34,0,4,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
35,2,1,0,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
36,0,4,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
37,1,4,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
38,2,1,0,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
39,1,4,0,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
40,1,1,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
41,2,1,0,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
42,1,2,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
43,1,2,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
44,0,4,1,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
45,2,1,0,sub-2001_6,0.0213659209282513,0.105238397485747,4.05371228655361
1,2,2,0,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
2,2,1,0,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
3,0,1,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
4,1,2,0,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
5,0,3,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
6,2,1,0,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
7,2,1,0,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
8,1,1,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
9,0,1,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
10,1,3,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
11,0,4,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
12,2,1,0,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
13,0,4,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
14,2,3,0,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
15,1,1,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
16,2,1,0,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
17,2,1,0,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
18,0,1,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
19,1,1,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
20,1,1,0,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
21,1,1,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
22,2,2,0,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
23,1,2,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
24,0,4,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
25,0,1,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
26,2,1,0,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
27,0,3,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
28,1,1,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
29,1,2,0,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
30,1,1,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
31,0,4,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
32,2,1,0,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
33,2,1,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
34,1,1,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
35,1,1,0,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
36,1,1,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
37,0,4,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
38,1,1,0,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
39,0,3,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
40,2,1,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
41,0,4,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
42,2,1,0,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
43,0,3,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
44,0,4,1,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
45,2,1,0,sub-2001_7,0.0213659209282513,0.105238397485747,4.05371228655361
1,0,3,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
2,2,4,0,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
3,1,2,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
4,1,4,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
5,2,3,0,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
6,0,3,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
7,2,1,0,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
8,1,4,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
9,2,1,0,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
10,2,2,0,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
11,0,2,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
12,1,1,0,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
13,2,1,0,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
14,0,4,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
15,0,4,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
16,2,1,0,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
17,1,2,0,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
18,1,4,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
19,2,1,0,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
20,2,1,0,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
21,0,4,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
22,1,2,0,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
23,0,3,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
24,0,4,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
25,0,4,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
26,0,4,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
27,1,1,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
28,2,1,0,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
29,2,2,0,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
30,1,2,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
31,2,1,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
32,0,4,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
33,0,4,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
34,1,1,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
35,2,1,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
36,1,1,0,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
37,0,4,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
38,1,1,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
39,1,1,0,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
40,0,4,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
41,2,1,0,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
42,1,1,0,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
43,0,4,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
44,2,1,0,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
45,1,1,1,sub-2001_8,0.0213659209282513,0.105238397485747,4.05371228655361
1,2,1,0,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
2,2,2,0,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
3,1,4,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
4,1,1,0,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
5,0,1,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
6,2,1,0,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
7,1,4,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
8,2,1,0,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
9,0,3,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
10,1,3,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
11,1,3,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
12,1,4,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
13,0,4,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
14,0,4,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
15,0,2,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
16,2,1,0,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
17,2,2,0,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
18,1,2,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
19,0,3,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
20,0,4,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
21,1,4,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
22,1,4,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
23,0,4,1,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
24,2,1,0,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
25,1,4,0,sub-2001_9,0.0213659209282513,0.105238397485747,4.05371228655361
