Trial,Stim_Sequence,Choice,Trustee_Response,Beta,Subject
12,1,4,1,0.137249505377998,sub-1005_5
13,0,3,1,0.137249505377998,sub-1005_5
14,1,3,1,0.137249505377998,sub-1005_5
15,1,4,1,0.137249505377998,sub-1005_5
16,1,1,0,0.137249505377998,sub-1005_5
17,1,2,0,0.137249505377998,sub-1005_5
18,2,1,0,0.137249505377998,sub-1005_5
19,2,4,0,0.137249505377998,sub-1005_5
20,0,4,1,0.137249505377998,sub-1005_5
21,2,4,0,0.137249505377998,sub-1005_5
22,0,1,1,0.137249505377998,sub-1005_5
23,2,4,0,0.137249505377998,sub-1005_5
24,0,4,1,0.137249505377998,sub-1005_5
25,0,2,1,0.137249505377998,sub-1005_5
26,1,1,0,0.137249505377998,sub-1005_5
27,1,1,1,0.137249505377998,sub-1005_5
28,2,4,0,0.137249505377998,sub-1005_5
29,1,2,1,0.137249505377998,sub-1005_5
30,0,3,1,0.137249505377998,sub-1005_5
31,2,3,0,0.137249505377998,sub-1005_5
32,2,4,0,0.137249505377998,sub-1005_5
33,2,3,0,0.137249505377998,sub-1005_5
34,1,3,1,0.137249505377998,sub-1005_5
35,0,4,1,0.137249505377998,sub-1005_5
