Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha_gain,Alpha_loss,Beta,Decay
2,2,2,0,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
3,0,3,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
4,1,2,0,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
5,0,4,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
6,0,2,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
7,1,4,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
8,1,4,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
9,2,4,0,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
10,0,4,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
11,2,4,0,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
12,2,4,0,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
13,2,4,0,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
14,0,2,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
15,2,2,0,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
16,0,2,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
17,0,4,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
18,0,4,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
19,2,1,0,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
20,0,2,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
21,2,1,0,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
22,0,1,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
23,1,3,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
24,2,4,0,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
25,2,1,0,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
26,2,1,0,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
27,2,1,0,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
28,1,1,0,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
29,1,2,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
30,1,2,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
31,1,4,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
32,2,1,0,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
33,1,3,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
34,1,3,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
35,0,1,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
36,0,1,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
37,1,3,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
38,1,4,0,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
39,0,4,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
40,0,4,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
41,1,2,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
42,1,2,1,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
43,2,1,0,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
44,2,1,0,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
45,1,1,0,sub-1009_4,0.0011064427808133,0.0013407619908078,20.0,0.0
1,2,3,0,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
2,2,2,0,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
3,2,2,0,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
4,0,4,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
5,1,1,0,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
6,0,4,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
7,2,4,0,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
8,0,2,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
9,0,4,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
10,1,2,0,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
11,1,2,0,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
12,1,3,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
13,2,2,0,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
14,0,1,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
15,2,3,0,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
16,0,3,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
17,0,3,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
18,2,1,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
19,2,1,0,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
20,1,2,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
21,0,3,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
22,1,4,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
23,0,3,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
24,0,4,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
25,1,4,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
26,2,1,0,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
27,2,1,0,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
28,2,2,0,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
29,1,1,0,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
30,2,1,0,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
31,0,2,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
32,1,2,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
33,1,4,0,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
34,1,3,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
35,1,1,0,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
36,1,2,0,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
37,2,1,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
38,1,3,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
39,0,4,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
40,0,3,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
41,1,4,0,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
42,2,1,0,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
43,0,3,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
44,2,2,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
45,0,3,1,sub-1009_5,0.0011064427808133,0.0013407619908078,20.0,0.0
1,2,2,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
2,0,4,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
3,0,3,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
4,1,1,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
5,0,2,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
6,1,1,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
7,2,4,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
8,1,4,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
9,1,1,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
10,0,1,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
11,1,1,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
12,2,4,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
13,0,3,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
14,0,1,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
15,2,2,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
16,0,4,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
17,1,1,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
18,1,3,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
19,1,3,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
20,0,4,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
21,2,4,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
22,2,4,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
23,2,2,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
24,1,2,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
25,1,4,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
26,2,1,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
27,2,3,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
28,1,2,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
29,0,4,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
30,2,2,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
31,2,1,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
32,0,4,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
33,0,4,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
34,2,3,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
35,0,4,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
36,1,1,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
37,1,4,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
38,2,1,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
39,1,1,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
40,0,4,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
41,0,1,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
42,2,2,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
43,0,4,1,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
44,1,3,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
45,2,1,0,sub-1009_6,0.0011064427808133,0.0013407619908078,20.0,0.0
1,0,3,1,sub-1009_7,0.0011064427808133,0.0013407619908078,20.0,0.0
2,0,1,1,sub-1009_7,0.0011064427808133,0.0013407619908078,20.0,0.0
