Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha_gain,Alpha_loss,Beta,iProbA,iProbB,iProbC
9,0,3,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
10,2,2,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
11,0,3,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
12,1,4,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
13,1,2,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
14,2,4,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
15,1,4,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
16,1,3,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
17,2,2,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
18,0,4,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
19,2,3,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
20,2,4,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
21,1,4,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
22,2,3,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
23,0,2,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
24,2,3,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
25,1,2,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
26,0,4,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
27,1,2,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
28,0,4,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
29,0,3,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
30,2,1,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
31,1,3,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
32,1,4,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
33,2,3,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
34,0,3,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
35,0,2,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
36,1,4,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
37,0,4,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
38,2,3,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
39,0,1,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
40,2,2,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
41,2,1,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
42,1,4,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
43,2,1,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
44,2,2,0,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
45,1,4,1,sub-1009_2,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
1,1,4,1,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
2,0,4,1,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
3,1,3,1,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
4,0,1,1,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
5,0,4,1,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
6,2,2,0,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
7,0,4,1,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
8,2,2,0,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
9,2,3,0,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
10,2,3,0,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
11,1,1,0,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
12,2,2,1,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
13,0,3,1,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
14,1,4,1,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
15,2,4,0,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
16,1,2,1,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
17,1,4,0,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
18,2,3,0,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
19,2,1,0,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
20,1,3,0,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
21,2,4,0,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
22,1,4,1,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
23,2,4,0,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
24,0,1,1,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
25,1,4,1,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
26,2,3,1,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
27,2,2,0,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
28,2,4,0,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
29,0,4,1,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
30,1,4,1,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
31,0,3,1,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
32,1,2,1,sub-1009_3,0.8864954677462004,0.0125106296856825,0.1261132018760056,0.9874713047634088,0.9871534476241418,1.2745854639053375e-05
