Trial,Stim_Sequence,Choice,Trustee_Response,Subject,Alpha,Beta,Decay
34,2,1,0,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
35,1,2,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
36,2,3,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
37,1,3,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
38,0,4,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
39,0,3,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
40,1,4,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
41,1,4,0,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
42,2,2,0,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
43,1,1,0,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
44,2,1,0,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
45,1,3,1,sub-1004_7,0.347654977492263,0.595335185534949,0.0292554628290216
1,0,4,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
2,2,3,0,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
3,2,3,0,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
4,0,4,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
5,2,1,0,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
6,1,4,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
7,1,3,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
8,0,4,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
9,1,4,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
10,0,4,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
11,2,4,0,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
12,1,3,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
13,0,4,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
14,2,2,0,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
15,1,4,0,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
16,1,4,0,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
17,0,4,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
18,1,1,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
19,1,2,0,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
20,1,1,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
21,0,4,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
22,2,1,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
23,0,4,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
24,0,4,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
25,2,1,0,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
26,1,1,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
27,0,4,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
28,2,1,0,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
29,0,4,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
30,0,4,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
31,2,3,0,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
32,0,4,0,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
33,1,1,1,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
34,2,2,0,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
35,2,1,0,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
36,2,1,0,sub-1004_8,0.347654977492263,0.595335185534949,0.0292554628290216
